"","verbatimScientificName","countryCode","locality","stateProvince","decimalLatitude","decimalLongitude","year","institutionCode","Range","IntroLat","IntroLong","...12"
"1","Cinnamomum camphora","JP",NA,"Nagano",36.7254,138.222654,2020,"iNaturalist","native",28.9786,-96.64609,NA
"2","Cinnamomum camphora","JP",NA,"Oita",33.281619,131.488608,2020,"iNaturalist","native",28.9786,-96.64609,NA
"3","Cinnamomum camphora (L.) J. Presl","JP","Ino Machi","Kochi (é«˜çŸ¥ç¸£)",33.573444,133.356306,2008,"TAIF","native",28.9786,-96.64609,NA
"4","Cinnamomum camphora (L.) J.Presl","JP",NA,NA,35.007273,135.782673,2019,NA,"native",28.9786,-96.64609,NA
"5","Cinnamomum camphora (L.) J.Presl","JP",NA,NA,34.990464,135.755713,2019,NA,"native",28.9786,-96.64609,NA
"6","Cinnamomum camphora (L.) J.Presl","JP",NA,NA,34.692819,135.503331,2019,NA,"native",28.9786,-96.64609,NA
"7","Cinnamomum camphora (L.) J.Presl","JP",NA,NA,35.019623,135.760746,2019,NA,"native",28.9786,-96.64609,NA
"8","Cinnamomum camphora (L.) J.Presl","JP",NA,NA,34.990464,135.755713,2019,NA,"native",28.9786,-96.64609,NA
"9","Cinnamomum camphora (L.) J.Presl","JP",NA,NA,34.990464,135.755713,2019,NA,"native",28.9786,-96.64609,NA
"10","Cinnamomum camphora (L.) J.Presl","JP",NA,NA,35.019731,135.761019,2019,NA,"native",28.9786,-96.64609,NA
"11","Cinnamomum camphora (L.) J.Presl","JP",NA,NA,35.064379,135.779281,2019,NA,"native",28.9786,-96.64609,NA
"12","Cinnamomum camphora","JP",NA,"Aichi",35.233445,137.047869,2020,"iNaturalist","native",28.9786,-96.64609,NA
"13","Cinnamomum camphora","JP",NA,"Tokyo",35.72442,139.771906,2020,"iNaturalist","native",28.9786,-96.64609,NA
"14","Cinnamomum camphora","JP",NA,"Aichi",35.168847,136.982592,2020,"iNaturalist","native",28.9786,-96.64609,NA
"15","Cinnamomum camphora","JP",NA,"Tokyo",35.672122,139.755305,2020,"iNaturalist","native",28.9786,-96.64609,NA
